Status;Carta-Consulta;Modalidade;UF;Município;Agente Financeiro;Proponente;Empreendimento;Valor de Contrapartida (R$);Valor de Empréstimo (R$);Valor de Investimento (R$)
Em análise de enquadramento;1425.245.2712/2017;Qualificação Viária;PB;Santa Rita;Caixa Econômica Federal;Prefeitura Municipal de Santa Rita;Qualificação Viária do Prefeitura Municipal de Santa Rita;R$ 1.510.000,00;R$ 28.690.000,00;R$ 30.200.000,00
Pré-selecionada pelo Gestor da Aplicação;3186.2.1204/2018;Qualificação Viária;RS;Santa Clara do Sul;Caixa Econômica Federal;Prefeitura Municipal de Santa Clara do Sul;Qualificação Viária do Prefeitura Municipal de Santa Clara do Sul;R$ 171.451,35;R$ 3.257.575,64;R$ 3.429.026,99
Não enquadrada pelo Agente Financeiro;1086.2.1611/2017;Qualificação Viária;PR;Loanda;Caixa Econômica Federal;Prefeitura Municipal de Loanda;Qualificação Viária do Prefeitura Municipal de Loanda;R$ 138.824,21;R$ 2.637.659,79;R$ 2.776.484,00
Em análise de enquadramento;1226.2.0512/2017;Qualificação Viária;RS;Sapiranga;Caixa Econômica Federal;Prefeitura Municipal de Sapiranga;Qualificação Viária do Prefeitura Municipal de Sapiranga;R$ 214.883,00;R$ 4.082.765,05;R$ 4.297.648,05
Em análise de enquadramento;1420.24.2612/2017;Qualificação Viária;BA;Mirangaba;Caixa Econômica Federal;Prefeitura Municipal de Mirangaba;Qualificação Viária do Prefeitura Municipal de Mirangaba;R$ 54.100,00;R$ 1.027.900,00;R$ 1.082.000,00
Em análise de enquadramento;652.2.2709/2017;Qualificação Viária;SP;Santa Bárbara d'Oeste;Caixa Econômica Federal;Prefeitura Municipal de Santa Bárbara d'Oeste;Qualificação Viária do Prefeitura Municipal de Santa Bárbara d'Oeste;R$ 340.500,00;R$ 6.469.500,00;R$ 6.810.000,00
Pré-selecionada pelo Gestor da Aplicação;3522.24.0607/2018;Qualificação Viária;PI;Buriti dos Lopes;Caixa Econômica Federal;Prefeitura Municipal de Buriti dos Lopes;Qualificação Viária do Prefeitura Municipal de Buriti dos Lopes;R$ 248.275,00;R$ 4.717.225,00;R$ 4.965.500,00
Selecionada pelo gestor da aplicação;419.2.3008/2017;Qualificação Viária;SP;Mogi Mirim;Caixa Econômica Federal;Prefeitura Municipal de Moji Mirim;Qualificação Viária do Prefeitura Municipal de Moji Mirim;R$ 1.050.000,00;R$ 19.950.000,00;R$ 21.000.000,00
Não enquadrada pelo Agente Financeiro;1240.2.0712/2017;Qualificação Viária;SC;São Bento do Sul;Caixa Econômica Federal;Prefeitura Municipal de São Bento do Sul;Qualificação Viária do Prefeitura Municipal de São Bento do Sul;R$ 176.201,03;R$ 3.347.819,46;R$ 3.524.020,49
Não enquadrada pelo Agente Financeiro;1534.24.1201/2018;Qualificação Viária;SC;Campo Belo do Sul;Caixa Econômica Federal;Prefeitura Municipal de Campo Belo do Sul;Qualificação Viária do Prefeitura Municipal de Campo Belo do Sul;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Pré-selecionada pelo Gestor da Aplicação;1088.2.1611/2017;Qualificação Viária;PR;Farol;Caixa Econômica Federal;Prefeitura Municipal de Farol;Qualificação Viária do Prefeitura Municipal de Farol;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Enquadrada pelo Agente Financeiro;1250.2.0712/2017;Qualificação Viária;PR;São João do Triunfo;Caixa Econômica Federal;Prefeitura Municipal de São João do Triunfo;Qualificação Viária do Prefeitura Municipal de São João do Triunfo;R$ 28.302,03;R$ 537.738,56;R$ 566.040,59
Devolvida ao Proponente;513.2.1409/2017;Qualificação Viária;RS;Tupanciretã;Caixa Econômica Federal;Prefeitura Municipal de Tupanciretã;Qualificação Viária do Prefeitura Municipal de Tupanciretã;R$ 141.047,32;R$ 2.679.899,01;R$ 2.820.946,33
Em análise de enquadramento;1354.2.2012/2017;Qualificação Viária;SC;Ilhota;Caixa Econômica Federal;Prefeitura Municipal de Ilhota;Qualificação Viária do Prefeitura Municipal de Ilhota;R$ 56.058,18;R$ 1.065.105,33;R$ 1.121.163,51
Pré-selecionada pelo Gestor da Aplicação;1225.2.0512/2017;Qualificação Viária;RS;Sapiranga;Caixa Econômica Federal;Prefeitura Municipal de Sapiranga;Qualificação Viária do Prefeitura Municipal de Sapiranga;R$ 206.085,66;R$ 3.915.627,44;R$ 4.121.713,10
Pré-selecionada pelo Gestor da Aplicação;1490.2.0401/2018;Qualificação Viária;SP;Viradouro;Caixa Econômica Federal;Prefeitura Municipal de Viradouro;Qualificação Viária do Prefeitura Municipal de Viradouro;R$ 97.500,00;R$ 1.852.500,00;R$ 1.950.000,00
Pré-selecionada pelo Gestor da Aplicação;1448.2.2912/2017;Qualificação Viária;RS;Espumoso;Caixa Econômica Federal;Prefeitura Municipal de Espumoso;Qualificação Viária do Prefeitura Municipal de Espumoso;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Pré-selecionada pelo Gestor da Aplicação;1090.2.1611/2017;Qualificação Viária;RS;Vitória das Missões;Caixa Econômica Federal;Prefeitura Municipal de Vitória das Missões;Qualificação Viária do Prefeitura Municipal de Vitória das Missões;R$ 190.250,00;R$ 3.614.750,00;R$ 3.805.000,00
Pré-selecionada pelo Gestor da Aplicação;3726.2.2409/2018;Qualificação Viária;BA;Candeias;Caixa Econômica Federal;Prefeitura Municipal de Candeias;Qualificação Viária do Prefeitura Municipal de Candeias;R$ 970.000,00;R$ 18.430.000,00;R$ 19.400.000,00
Em análise de enquadramento;3437.24.0606/2018;Qualificação Viária;PI;Milton Brandão;Caixa Econômica Federal;Prefeitura Municipal de Milton Brandão;Qualificação Viária do Prefeitura Municipal de Milton Brandão;R$ 132.051,15;R$ 2.508.971,85;R$ 2.641.023,00
Não enquadrada pelo Agente Financeiro;1403.2.2212/2017;Qualificação Viária;RJ;Resende;Caixa Econômica Federal;Prefeitura Municipal de Resende;Qualificação Viária do Prefeitura Municipal de Resende;R$ 349.302,95;R$ 6.636.756,05;R$ 6.986.059,00
Pré-selecionada pelo Gestor da Aplicação;1395.245.2212/2017;Qualificação Viária;SP;Itapevi;Caixa Econômica Federal;Prefeitura Municipal de Itapevi;Qualificação Viária do Prefeitura Municipal de Itapevi;R$ 1.492.600,00;R$ 28.359.400,00;R$ 29.852.000,00
Pré-selecionada pelo Gestor da Aplicação;1379.2.2112/2017;Qualificação Viária;BA;Jitaúna;Caixa Econômica Federal;Prefeitura Municipal de Jitaúna;Qualificação Viária do Prefeitura Municipal de Jitaúna;R$ 249.082,10;R$ 4.732.559,90;R$ 4.981.642,00
Pré-selecionada pelo Gestor da Aplicação;1304.2.1412/2017;Qualificação Viária;PE;Orocó;Caixa Econômica Federal;Prefeitura Municipal de Orocó;Qualificação Viária do Prefeitura Municipal de Orocó;R$ 134.154,96;R$ 2.548.944,05;R$ 2.683.099,01
Em análise de enquadramento;1413.2.2612/2017;Qualificação Viária;MG;Serro;Caixa Econômica Federal;Prefeitura Municipal de Serro;Qualificação Viária do Prefeitura Municipal de Serro;R$ 154.795,58;R$ 2.941.115,92;R$ 3.095.911,50
Pré-selecionada pelo Gestor da Aplicação;1080.2.1611/2017;Qualificação Viária;PR;Primeiro de Maio;Caixa Econômica Federal;Prefeitura Municipal de Primeiro de Maio;Qualificação Viária do Prefeitura Municipal de Primeiro de Maio;R$ 112.605,00;R$ 2.139.495,00;R$ 2.252.100,00
Não enquadrada pelo Agente Financeiro;1241.3.0712/2017;Transporte Não Motorizado;SC;São Bento do Sul;Caixa Econômica Federal;Prefeitura Municipal de São Bento do Sul;Transporte Não Motorizado do Prefeitura Municipal de São Bento do Sul;R$ 53.906,61;R$ 1.024.225,57;R$ 1.078.132,18
Selecionada pelo gestor da aplicação;1375.2.2112/2017;Qualificação Viária;SC;São José do Cedro;Caixa Econômica Federal;Prefeitura Municipal de São José do Cedro;Qualificação Viária do Prefeitura Municipal de São José do Cedro;R$ 159.000,00;R$ 2.884.890,00;R$ 3.043.890,00
